Mask_Size,Mask_Type,PSNR_mean,PSNR_std,MSE_mean,MSE_std,MAE_mean,MAE_std,LPIPS_mean,LPIPS_std,Time_mean,Time_std,Memory_mean,Memory_std
100x100,center,14.028519653333333,2.937253307053892,3136.788054453333,1834.3265330487175,133.03840297333332,23.005963661928874,0.46635772,0.16850847760673157,0.11099435999999999,0.12416164026211458,679.9906213333333,760.784136041033
100x100,random,14.590676120000001,3.223124849601084,2860.2981752533333,1836.2240820197933,133.74150918666666,27.01284763296247,0.42443020000000004,0.12863345860045985,0.11138446666666667,0.1261379369418008,679.9902666666667,760.7836367129491
12x12,center,16.97057742666667,3.8704015858533953,1817.75355576,1366.2433625133601,130.36094996,27.11334143273646,,,0.11330572,0.1291992672503832,679.9902666666667,760.7836367129491
12x12,random,18.73244288,6.475674387915931,1765.81180632,1736.5145103945235,121.43713112,41.570039978654336,,,0.11180702666666666,0.12625602455509793,679.9902666666667,760.7836367129491
150x150,center,13.7817861,2.6091661595602655,3211.69336136,1787.3918875134714,133.5866564,21.080025098642974,0.48806502,0.16311577098903868,0.15942872,0.13074723296095794,996.30555,753.6683911392715
150x150,random,13.925135260000001,3.5811281913451936,3496.9915090000004,2565.507805293881,128.84092448,28.917053604393736,0.50400732,0.1461136835896079,0.157776,0.13062543137025082,996.30555,753.6683911392715
200x200,center,13.23078304,2.306684601371934,3528.4192924599997,1789.9998636226806,134.86377274,19.885475868068202,0.60922382,0.11759654091806715,0.1569819,0.1293279356418305,996.30555,753.6683911392715
200x200,random,13.2891538,2.588886174371963,3568.4006739,1886.4617375645616,133.94417898,22.182581775117896,0.5926914,0.14064587740352089,0.1582781,0.1314152175901745,996.30555,753.6683911392715
25x25,center,16.116868013333335,3.8213017801580103,2196.14512776,1633.4881359178585,134.99904544,27.162695119849396,,,0.11090633333333333,0.126679837654056,679.9902666666667,760.7836367129491
25x25,random,17.345869986666667,5.929724829448869,2229.7432643866664,2233.296925816188,128.30169918666667,39.36926910729565,,,0.11267425333333334,0.12809270778104728,679.9902666666667,760.7836367129491
300x300,center,13.10006896,2.210082197411718,3609.3775539999997,1829.1031713898685,132.79598644,20.033944673072583,0.57748732,0.1373824091714714,0.28453388,0.06526056807018706,1749.8934,2.8203585248836145
300x300,random,13.1327108,2.3214559331297147,3625.34004808,1871.4231987681962,137.15219592,28.9636391358501,0.53017752,0.14956351753338887,0.27052296000000003,0.05682696671912947,1749.8934,2.8203585248836145
400x400,center,12.69045624,2.0270687043911444,3889.5129161600003,1817.0419210776977,132.39995432,19.588350816932298,0.62501188,0.13144540958567566,0.27054184,0.05664143994022225,1749.8934,2.8203585248836145
400x400,random,12.79338244,2.1049396289053517,3817.1426098399997,1727.5520697011364,137.4705398,22.8630810283543,0.64897048,0.08100076796138206,0.27488656,0.05924288557424304,1749.8934,2.8203585248836145
50x50,center,15.022104866666666,3.4891995769073634,2695.28536936,1814.9848550412262,135.45695734666666,27.06206428429373,0.29472850666666667,0.15189688350917285,0.10758822666666666,0.11881163215462823,679.9902666666667,760.7836367129491
50x50,random,15.973704920000001,4.465622309487726,2354.2139407866666,1704.3098668212992,130.80686054666666,35.09818938264837,0.29944521333333335,0.15129460945541956,0.11303034666666666,0.12833430074397922,679.9902666666667,760.7836367129491
6x6,center,18.008407666666667,4.231396623705807,1516.85703652,1219.058583848406,121.74258553333334,28.548575422741862,,,0.11500185333333333,0.1316579183549572,679.9902666666667,760.7836367129491
6x6,random,18.962515133333333,5.444633438044309,1393.1530089599999,1205.6020371190118,115.77327986666667,37.92143541073787,,,0.11046978666666665,0.12358664695560184,679.9902666666667,760.7836367129491
75x75,center,14.43539324,3.067234095584802,2911.6391831466667,1791.9328574866906,134.43189282666665,23.853557140639584,0.35018809333333334,0.1629493356405484,0.11182397333333334,0.1256791257513855,679.9902666666667,760.7836367129491
75x75,random,15.371474546666667,4.2717403883116445,2852.2871085200004,2712.8261049239322,129.64470634666668,35.14306271945906,0.33382616,0.15117700429806818,0.11368810666666666,0.1291081389382067,679.9902666666667,760.7836367129491
